,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2024-12-01 06:32:23,2024-11-28 21:45:36,1234.0,604.0,2080.0,203.0,412.0,134.0,1122.0,17466.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,640680.0,640680.0,153.0,https://www.npmjs.com/package/react-native-vector-icons,2554619.0,2554619.0,45,True,1,5.0,
1,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2024-12-04 21:40:27,2024-12-04 21:40:01,3110.0,137.0,4871.0,320.0,1904.0,751.0,8826.0,23658.0,2024-12-03 22:10:23,@react-navigation/drawer@7.0.19,100.0,Routing and navigation for your React Native apps.,1074709.0,1074709.0,305.0,https://www.npmjs.com/package/@react-navigation/native,5408328.0,5408328.0,43,True,1,,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2024-12-03 08:24:20,2024-12-03 08:24:20,1612.0,25.0,4609.0,217.0,1265.0,70.0,3668.0,15175.0,2024-11-22 16:25:37,1.20.1,100.0,React Native Mapview component for iOS + Android.,187871.0,187871.0,509.0,https://www.npmjs.com/package/react-native-maps,1165629.0,1165629.0,42,True,1,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2024-12-05 17:18:57,2024-12-05 16:38:32,24640.0,1438.0,5579.0,304.0,17230.0,449.0,14639.0,35168.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1062379.0,1062379.0,1539.0,,,,41,True,1,,
4,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2024-12-01 22:49:19,2024-12-01 22:49:19,831.0,12.0,1723.0,227.0,425.0,41.0,824.0,16769.0,2024-11-01 11:10:24,7.1.0,42.0,Lottie wrapper for React Native.,121022.0,121022.0,154.0,https://www.npmjs.com/package/lottie-react-native,1677345.0,1677345.0,40,True,1,,
5,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2024-11-19 18:53:07,2024-10-01 19:05:31,1472.0,11.0,3325.0,193.0,890.0,186.0,1479.0,13586.0,2024-10-01 19:12:38,2.6.4,75.0,The most complete chat UI for React Native.,30206.0,30206.0,224.0,https://www.npmjs.com/package/react-native-gifted-chat,191320.0,191320.0,40,True,1,,17.0
6,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2024-11-29 11:29:44,2024-11-29 11:29:39,2096.0,2.0,2072.0,120.0,1923.0,265.0,2270.0,13045.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,221633.0,221633.0,330.0,https://www.npmjs.com/package/react-native-paper,1173986.0,1173986.0,39,True,1,,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2024-12-05 14:44:36,2024-12-05 13:43:24,8629.0,63.0,511.0,122.0,989.0,86.0,1796.0,11034.0,2024-11-12 13:27:19,37.3.2,100.0,A collection of composable React components for building interactive data visualizations.,26144.0,26144.0,246.0,https://www.npmjs.com/package/victory-native,503094.0,503094.0,39,True,1,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2024-12-05 16:38:33,2024-12-05 16:38:32,4419.0,136.0,701.0,322.0,2617.0,77.0,598.0,6594.0,2024-11-06 12:18:53,7.34.0,100.0,UI Components Library for React Native.,4440.0,4440.0,156.0,https://www.npmjs.com/package/react-native-ui-lib,228511.0,228511.0,37,True,2,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4577.0,371.0,1646.0,133.0,2003.0,25118.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,547811.0,547811.0,32,True,2,,
